award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
crafoord-000001,1982,Mathematics,Crafoord Prize,for their outstanding achievements in the theory of non-linear differential equations,,Q157642,Individual,Vladimir Arnold,1937-06-12,1937,Odesa,Russian Empire,,Soviet Union; Russia,Male,,,,,2010-06-03,Paris,France,,(1937–2010),
crafoord-000002,1982,Mathematics,Crafoord Prize,for their outstanding achievements in the theory of non-linear differential equations,,Q596590,Individual,Louis Nirenberg,1925-02-28,1925,Hamilton,Canada,,Canada; United States,Male,,,,,2020-01-26,New York City,United States,,(1925–2020),
crafoord-000003,1983,Geosciences,Crafoord Prize,"for their fundamental contributions to the field of geophysical hydrodynamics, which in a unique way have contributed to a deeper understanding of the large-scale motions of the atmosphere and the sea",,Q174808,Individual,Edward Norton Lorenz,1917-05-23,1917,West Hartford,United States,,United States,Male,,,,,2008-04-16,Cambridge,United States,,(1917–2008),
crafoord-000004,1983,Geosciences,Crafoord Prize,"for their fundamental contributions to the field of geophysical hydrodynamics, which in a unique way have contributed to a deeper understanding of the large-scale motions of the atmosphere and the sea",,Q1343807,Individual,Henry Stommel,1920-09-27,1920,Wilmington,United States,,United States,Male,,,,,1992-01-17,Boston,United States,,(1920–1992),
crafoord-000005,1984,Biosciences,Crafoord Prize,for his imaginative and stimulating studies on co-evolution which have inspired many researchers to further work in this field,,Q1161184,Individual,Daniel H. Janzen,1939-01-18,1939,Milwaukee,United States,,United States,Male,,,,,,,,,(b. 1939),
crafoord-000006,1985,Astronomy,Crafoord Prize,"for his fundamental pioneering studies of practically every aspect of the interstellar medium, culminating in the results obtained using the Copernicus satellite",,Q431503,,Lyman Spitzer,1914-06-26,1914,Toledo,United States,,United States,Male,,,,,1997-03-31,Princeton,United States,,(1914–1997),
crafoord-000007,1986,Geosciences,Crafoord Prize,for their pioneering studies of isotope geochemical relations and the geological interpretations that these results permit,,Q1096420,,Claude Allègre,1937-03-31,1937,13th arrondissement of Paris,France,,France,Male,,,,,2025-01-04,12th arrondissement of Paris,France,,(1937–2025),
crafoord-000008,1986,Geosciences,Crafoord Prize,for their pioneering studies of isotope geochemical relations and the geological interpretations that these results permit,,Q1388562,,Gerald J. Wasserburg,1927-03-25,1927,New Brunswick,United States,,United States,Male,,,,,2016-06-13,Florence,United States,,(1927–2016),
crafoord-000009,1987,Biosciences,Crafoord Prize,for their pioneering contributions within the field of ecosystem ecology,,Q936568,,Eugene Odum,1913-09-17,1913,Newport,United States,,United States,Male,,,,,2002-08-10,Athens,United States,,(1913–2002),
crafoord-000010,1987,Biosciences,Crafoord Prize,for their pioneering contributions within the field of ecosystem ecology,,Q979486,,Howard T. Odum,1924-09-01,1924,Durham,United States,,United States,Male,,,,,2002-09-11,Gainesville,United States,,(1924–2002),
